gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cd4_8	direction
Cd82	4.507424170599033e-9	1.4111577089987293	0.598	0.197	9.352003669158873e-5	CD4	up
Sell	4.990868086441191e-9	-0.7808166569251057	0.222	0.59	1.0355053105748184e-4	CD4	down
Rpl27a	5.3909352658163395e-9	-0.5308245729531711	0.994	1	1.118511248951574e-4	CD4	down
Rpsa	5.559373768136744e-9	-0.5281338052888147	0.991	1	1.1534588694130117e-4	CD4	down
Rpl30	6.708707690007308e-9	-0.49661131520118307	1	1	1.391922671522716e-4	CD4	down
Tpt1	7.81545080873406e-9	-0.46957322816068103	1	1	1.621549733796143e-4	CD4	down
H2-K1	8.369550114420172e-9	0.6603162840593066	1	0.984	1.7365142577398972e-4	CD4	up
Rps5	9.133370227470774e-9	-0.5470387168013469	0.991	1	1.8949916547956363e-4	CD4	down
Gm20186	9.805956757301516e-9	-0.9509677555591773	0.437	0.787	2.0345399080049184e-4	CD4	down
Sh3bgrl3	1.0066003632804397e-8	1.1017771942904981	0.908	0.82	2.088494433734256e-4	CD4	up
Rps2	1.0232107409282453e-8	-0.5738340356510427	0.991	1	2.1229576452779235e-4	CD4	down
Rplp0	1.0466933916102342e-8	-0.5708741553856997	0.994	1	2.171679448912914e-4	CD4	down
Rpl10	1.0905010142771321e-8	-0.5686361906157247	0.962	1	2.2625715044221936e-4	CD4	down
Ifng	1.1054122325243835e-8	1.9062040068301775	0.383	0	2.293509300041591e-4	CD4	up
Trim13	1.1589656886125299e-8	-0.5130057530459734	0.013	0.164	2.404622010733277e-4	CD4	down
Lcp1	1.2016471137220748e-8	1.146971216849288	0.744	0.361	2.493177431550561e-4	CD4	up
Vps37b	1.2091145415388864e-8	-0.8094434625685532	0.804	0.967	2.5086708507848814e-4	CD4	down
Tmsb4x	1.3419689718721381e-8	0.6836459877635086	1	1	2.784317222840312e-4	CD4	up
Rps27	1.4737469575353382e-8	-0.5369130664837423	1	1	3.05773018749432e-4	CD4	down
Cd3g	1.49762356754868e-8	1.0161676210793662	0.807	0.607	3.107269377950001e-4	CD4	up
Thy1	1.73890395482383e-8	1.1898040984253166	0.766	0.508	0.00036078779254684825	CD4	up
Rpl15	2.2267289824746276e-8	-0.5530584227716995	0.975	1	4.620017292838357e-4	CD4	down
Cd55	2.361280880528377e-8	-0.8758045553915502	0.13	0.426	4.899185570920277e-4	CD4	down
Actb	2.7477159483850908e-8	0.7634086826253128	0.991	0.984	5.700961049709386e-4	CD4	up
Rps17	3.3520580829123764e-8	-0.5993742608543959	0.934	1	6.954850110426599e-4	CD4	down
Cxcr6	3.578861327876288e-8	1.5291878909819099	0.43	0.066	7.425421483077722e-4	CD4	up
Rras2	4.253069734470565e-8	-0.8875098342880086	0.127	0.41	8.824269085079527e-4	CD4	down
Tnnt3	4.6856075837286345e-8	-0.6005635489497287	0.38	0.77	9.72169861472017e-4	CD4	down
Laptm5	5.438180689928963e-8	0.8516790452338805	0.889	0.77	0.0011283137295464611	CD4	up
Zyx	5.778572456890459e-8	1.3727169177708376	0.535	0.18	0.0011989382133556323	CD4	up
Acta1	6.51650291258684e-8	-0.6642778721831819	0.636	0.918	0.0013520440243035175	CD4	down
Mb	6.930298628266467e-8	-0.8265087446587231	0.209	0.541	0.0014378983593927267	CD4	down
Klf6	7.540958251502821e-8	1.400762188308014	0.886	0.689	0.0015645980180218053	CD4	up
H2-Q7	8.194657452764676e-8	0.9228199959172856	0.851	0.639	0.0017002275282996151	CD4	up
Rps28	8.693817445275036e-8	-0.5094273178784352	0.994	1	0.0018037932435456645	CD4	down
Lcp2	8.965910108998742e-8	1.081775780147732	0.525	0.164	0.0018602470294150591	CD4	up
S100a13	9.868723998686213e-8	1.0145554424502514	0.696	0.41	0.0020475628552474156	CD4	up
Atp2b1	1.0628171923370262e-7	1.2687554873370117	0.816	0.623	0.002205133110660862	CD4	up
AA467197	1.0779931659862437e-7	1.5421130050383605	0.361	0.016	0.0022366202207882583	CD4	up
Bhlhe40	1.1005292201679322e-7	1.8585841560182164	0.516	0.18	0.0022833780260044256	CD4	up
Maf	1.1452037119582227e-7	1.326151604509004	0.633	0.295	0.0023760686615709203	CD4	up
Fosb	1.1880636765621974e-7	1.520316370342583	0.677	0.344	0.002464994516131247	CD4	up
Tmem64	1.3111931836871973e-7	-0.8646978939755163	0.288	0.623	0.002720463617514197	CD4	down
Rack1	1.3642722195116883e-7	-0.5165870949398439	0.978	0.984	0.002830592001042851	CD4	down
Hmgn1	1.3953309637506795e-7	-0.748352196537624	0.241	0.574	0.00289503268358991	CD4	down
Pdlim1	1.499046900141184e-7	-0.7047196573432642	0.146	0.426	0.0031102225084129287	CD4	down
Hcst	1.6149241607057015e-7	0.969372371256676	0.861	0.754	0.0033506446486321895	CD4	up
Tnnc2	1.6795711516111882e-7	-0.6352672603889746	0.563	0.852	0.0034847742253628932	CD4	down
Gpr183	1.769006539914697e-7	1.5318364526540562	0.506	0.18	0.0036703347690150135	CD4	up
Rps23	2.0625255711757918e-7	-0.40764524760545306	1	1	0.0042793280550755325	CD4	down
Tdrp	2.1186593422061216e-7	-0.7221245019082134	0.089	0.328	0.004395794403209261	CD4	down
mt-Co2	2.5002885780041004e-7	-0.3564270731565742	1	1	0.0051875987416429075	CD4	down
Psmb8	2.580881894435236e-7	1.059073063520447	0.668	0.344	0.005354813754574228	CD4	up
Anxa6	2.6105477026912705e-7	1.084083575120906	0.706	0.41	0.0054163643735438485	CD4	up
Rpl19	2.7989684964568487e-7	-0.40081249865883883	1	1	0.00580729983644867	CD4	down
Limd2	3.1954159554177416e-7	-0.6264790786627077	0.364	0.754	0.00662984902430073	CD4	down
Reep5	3.2789813231373043e-7	0.9840254337320635	0.661	0.328	0.006803230449245279	CD4	up
Rps13	3.52681199877449e-7	-0.40053176820170666	0.994	1	0.007317429535057312	CD4	down
Rps25	3.6235903063188123e-7	-0.41227366263344845	0.994	1	0.007518225167550272	CD4	down
Txn1	3.731883395724676e-7	1.0768468934177529	0.75	0.508	0.007742911669449558	CD4	up
Rpl7	3.760755592006904e-7	-0.5199981865773289	0.984	1	0.007802815702295924	CD4	down
Rpl17	3.8638466655591835e-7	-0.4604795454164581	1	1	0.008016709061702194	CD4	down
Fxyd5	3.966919690469226e-7	0.7708532081431172	0.924	0.885	0.00823056497378555	CD4	up
mt-Nd2	4.2891769205582265e-7	-0.47823203979301177	1	1	0.008899184274774208	CD4	down
Wipf1	4.3593701451229595e-7	0.9703343775907693	0.535	0.197	0.009044821177101117	CD4	up
Raph1	4.907118727428488e-7	1.182374482963109	0.421	0.082	0.010181289935668627	CD4	up
Bach2	5.228563820707463e-7	-0.7768231668701869	0.133	0.393	0.010848224215203844	CD4	down
Col3a1	5.469216491551605e-7	0.9716911888365005	0.725	0.426	0.01134753037667127	CD4	up
Ctla2a	5.511947639600353e-7	1.6529455766558163	0.551	0.197	0.01143618896264281	CD4	up
Gm14085	5.557854056608702e-7	-0.7505066452923738	0.038	0.213	0.011531435596651735	CD4	down
Clic1	5.770658497185745e-7	1.020985103252542	0.737	0.459	0.011972962249960984	CD4	up
Emp3	6.433007391764231e-7	0.9017531185305563	0.81	0.59	0.013347203736432426	CD4	up
Ctsd	6.475601530523762e-7	1.1236697893167478	0.671	0.393	0.013435578055530702	CD4	up
Gm26740	6.508155227459564e-7	-0.8740039640415984	0.218	0.508	0.013503120465933103	CD4	down
Ccr2	7.312156168679599e-7	1.2497898012072097	0.418	0.082	0.015171261618776433	CD4	up
Zfp36l2	8.045084393326755e-7	1.1493376143435694	0.854	0.705	0.01669194109927435	CD4	up
Itgal	9.629742541480253e-7	1.0447091902895265	0.592	0.311	0.019979789825063227	CD4	up
Anxa2	1.1247757537626336e-6	1.4290344510955726	0.528	0.23	0.023336847339067122	CD4	up
Bcl2a1b	1.1904997221909607e-6	1.3399583106374044	0.472	0.131	0.024700488236018052	CD4	up
Tpm2	1.3260971909327576e-6	-0.5098452561777536	0.231	0.541	0.027513864517472855	CD4	down
Dusp1	1.3496457285575171e-6	1.5093222064781062	0.68	0.41	0.028002449576111366	CD4	up
Coro1a	1.3711372911234677e-6	0.6162644976250671	0.915	0.869	0.02844835651622971	CD4	up
Samsn1	1.4472702002116848e-6	0.9908166894036423	0.671	0.344	0.030027962113992036	CD4	up
Atxn1	1.4624785112407321e-6	1.0036263649190085	0.361	0.049	0.03034350415122271	CD4	up
mt-Atp6	1.4670459601384352e-6	-0.35707199368773246	1	1	0.030438269580952252	CD4	down
Sept11	1.5942322375800173e-6	1.0800901062412618	0.528	0.213	0.033077130465310196	CD4	up
Rpl37a	1.817882947558544e-6	-0.38883131267495585	0.994	1	0.03771743539594467	CD4	down
mt-Nd5	1.913856690731643e-6	-0.5542345080416435	0.937	0.951	0.03970869861930013	CD4	down
Adgre5	1.9292000163877134e-6	1.1128786876039543	0.677	0.459	0.040027041940012276	CD4	up
Calm1	2.086236943844523e-6	0.7653737536050955	0.927	0.902	0.04328524411088616	CD4	up
Bzw2	2.1720625905686907e-6	-0.6420238834702856	0.18	0.443	0.04506595462911919	CD4	down
Pygm	2.3488539302919604e-6	-0.3793603511490422	0.035	0.197	0.0487340213456976	CD4	down
Rflnb	2.412714172999225e-6	-0.9225314843918535	0.168	0.426	0.05005899366138792	CD4	down
Runx2	2.4506937495835555e-6	1.1195790377402615	0.358	0.066	0.050846993916359606	CD4	up
Rbpj	2.645671759514703e-6	1.116722231905834	0.604	0.328	0.05489239766641106	CD4	up
Tbx21	2.888187128029871e-6	0.9451888980752978	0.282	0	0.05992410653236376	CD4	up
Rpl3	3.155955519191392e-6	-0.443908472180528	0.981	1	0.065479765112183	CD4	down
Rpl13a	3.530052952888214e-6	-0.4081635005516464	0.997	1	0.07324153866652466	CD4	down
Rgs10	3.5827337503033448e-6	-0.9360517178337282	0.241	0.525	0.0743345598512938	CD4	down
Tcp11l2	3.6672184458828443e-6	-0.7527405654391807	0.244	0.508	0.07608744831517726	CD4	down
Ramp3	3.728301080540855e-6	-0.6718065984227948	0.133	0.377	0.07735479081906166	CD4	down
Klrk1	3.745718105804242e-6	1.412226706028398	0.354	0.049	0.07771615925922641	CD4	up
mt-Nd4l	3.957285734920427e-6	-0.5560173650156153	0.829	0.934	0.08210576442812902	CD4	down
Hip1	3.977689892352776e-6	0.904279260602907	0.275	0	0.08252910988653539	CD4	up
Gimap3	4.1817718843548945e-6	-0.681539168720096	0.611	0.836	0.08676340305659536	CD4	down
Gng2	4.606576511092014e-6	0.9163174328867227	0.465	0.164	0.09557724945213711	CD4	up
Trat1	4.7274674293247986e-6	-0.5493449610133763	0.085	0.295	0.09808549422363091	CD4	down
Ndufb7	4.7342502088139135e-6	0.8797293665108195	0.611	0.328	0.09822622333247108	CD4	up
Nop10	4.7621600521114546e-6	-0.6416767151349978	0.386	0.672	0.09880529676120846	CD4	down
Ankrd50	4.8770513321236544e-06	-0.6096279399746103	0.089	0.295	0.10118906103890159	CD4	down
Ubb	5.107904717936188e-6	0.5634402163724253	0.978	1	0.10597880708774003	CD4	up
Csf1	5.199309870999699e-6	1.1891202677493264	0.297	0.016	0.10787528120350175	CD4	up
Crem	5.4353687466152445e-6	-0.770820594120041	0.475	0.705	0.11277303075477309	CD4	down
Rps3	6.455776503933223e-6	-0.44996919075228714	0.994	1	0.13394445090360652	CD4	down
Actn1	6.692781236580993e-6	-0.8627471133605547	0.209	0.459	0.13886182509658246	CD4	down
Anxa5	7.07452310371791e-6	1.0134438946516104	0.468	0.197	0.1467822053559392	CD4	up
Pias2	7.220156078065062e-6	-0.4488640734962845	0.073	0.262	0.14980379830769391	CD4	down
Rpl21	7.240086889743068e-6	-0.39847302386907746	0.984	1	0.15021732278838917	CD4	down
Il18rap	7.5240009316835865e-6	1.0315147389962347	0.354	0.066	0.15610797133057105	CD4	up
Dnaja1	8.031332021448312e-6	0.7752186420904619	0.902	0.836	0.16663407678100958	CD4	up
Baz1a	8.112151666460521e-6	1.065089880601402	0.532	0.246	0.1683109227757229	CD4	up
Rpl34	8.487897565853346e-6	-0.3789154232708034	0.994	1	0.17610689869632523	CD4	down
mt-Nd1	8.641476451052955e-6	-0.35393567049144803	1	1	0.17929335340644673	CD4	down
Rpl6	8.666742045657732e-6	-0.39619253744656646	0.978	1	0.17981756396330661	CD4	down
Cish	9.556836676872336e-6	1.1375314006366115	0.392	0.115	0.19828524737174721	CD4	up
Rpl35a	1.0028429976482309e-5	-0.33459672660426065	0.997	1	0.20806986515205494	CD4	down
Dynll1	1.0163718420407592e-5	0.713242135633358	0.769	0.557	0.2108768297866167	CD4	up
Cd28	1.2099601159991872e-5	0.914631406388887	0.858	0.738	0.2510425248675114	CD4	up
Cd4	1.2910455783738207e-5	1.0076845593356574	0.592	0.344	0.26786613660100034	CD4	up
Zbtb7a	1.3960543118438227e-5	0.9062439751223648	0.456	0.18	0.28965334862135633	CD4	up
Sept6	1.4404303543537051e-5	-0.5780315774534878	0.231	0.492	0.29886048992130676	CD4	down
Ndfip1	1.443228811830334e-5	0.8415415500806538	0.772	0.623	0.2994411138785577	CD4	up
2810001G20Rik	1.4634172379165366e-5	-0.389164766234468	0.073	0.262	0.303629808522923	CD4	down
Ly6e	1.5131079830913926e-5	0.7073550401986313	0.813	0.607	0.31393964433180216	CD4	up
Gm12840	1.6333580757797184e-5	-1.0902922683126524	0.399	0.623	0.33888913356277595	CD4	down
Diaph1	1.6953077127137683e-5	0.8290931432115294	0.636	0.377	0.35174244423385265	CD4	up
Rpl22l1	1.7428869159397903e-5	-0.600346781845869	0.782	0.918	0.3616141773191877	CD4	down
Actn3	1.7914904955254743e-5	-0.28203216972142736	0.013	0.115	0.37169844801162544	CD4	down
Klf2	2.007055977263798e-5	-0.48527095215191984	0.63	0.902	0.41642397416269283	CD4	down
B2m	2.146447659802334e-5	0.45664227373331556	0.994	1	0.44534496045578825	CD4	up
H2-Q6	2.2157897814369394e-5	0.9456201974639332	0.497	0.213	0.4597320638525362	CD4	up
Cd47	2.2811030071688882e-5	0.8005219257450629	0.782	0.607	0.4732832519274009	CD4	up
Stat1	2.2872092818407935e-5	0.785429789410346	0.506	0.197	0.47455018179632785	CD4	up
Gimap6	2.2933253788735445e-5	-0.5886217478806981	0.547	0.82	0.475819149608683	CD4	down
Mylpf	2.2979106996601342e-5	-0.7195759876571013	0.614	0.836	0.47677051196548464	CD4	down
Tnfrsf4	2.3731123245713667e-5	0.9260955416347125	0.405	0.115	0.49237334510206715	CD4	up
Rps21	2.5254767845638823e-5	-0.33346020867647486	1	1	0.5239859232613143	CD4	down
Rps11	2.5834844549328516e-5	-0.3816384322022319	0.987	1	0.5360213547094681	CD4	down
Bcl2a1d	2.6809235959251667e-5	1.206450877210544	0.361	0.098	0.5562380276825536	CD4	up
Gm26532	2.735323864821292e-5	0.875481942156979	0.468	0.18	0.5675249954731216	CD4	up
Crlf3	2.941136364259908e-5	-0.5876934180047413	0.513	0.754	0.6102269728566457	CD4	down
Emp1	3.0746762920187786e-5	0.7703866896850646	0.503	0.197	0.6379338370680562	CD4	up
Utp14b	3.0826001593143165e-5	-0.3943546086689441	0.063	0.23	0.6395778810545344	CD4	down
Esyt1	3.119655544371508e-5	0.8226552693612045	0.525	0.246	0.6472661323462005	CD4	up
Pvalb	3.137603327232191e-5	-0.6975828895322289	0.161	0.393	0.650989938334135	CD4	down
Rpl9	3.283791297085439e-5	-0.3330214585856819	0.997	1	0.6813210183192869	CD4	down
Pld3	3.323356585567523e-5	0.7987085551520617	0.427	0.148	0.6895300243735496	CD4	up
Tnni2	3.3542056514823445e-5	-0.38389391942231743	0.408	0.705	0.6959305885695568	CD4	down
Klrc1	3.474697722830793e-5	1.2052356578979238	0.278	0.033	0.7209302835329329	CD4	up
Cdk6	3.602506269342529e-5	1.0361149010426072	0.313	0.066	0.7474480007631878	CD4	up
Osbpl9	3.662980793622498e-5	-0.6067374847590881	0.231	0.475	0.7599952550607959	CD4	down
Gm42418	3.9154798369363436e-5	0.4221796885222746	1	1	0.8123837565675526	CD4	up
Clta	4.2906860810988224e-5	0.6577356817797018	0.728	0.492	0.8902315481063837	CD4	up
Rpl36al	4.49403272015884e-5	-0.4646956904455246	0.886	0.967	0.9324219087785561	CD4	down
Ucp2	4.554102211500096e-5	0.8432496338273139	0.661	0.443	0.94488512684204	CD4	up
Rere	4.71928751680297e-5	-0.4124942971265793	0.073	0.246	0.9791577739862802	CD4	down
Gm8369	4.725316929304326e-5	-0.7476665072163728	0.424	0.672	0.9804087564920615	CD4	down
Il2rb	4.994777566309255e-5	0.9234523708430453	0.57	0.311	1	CD4	up
Gnb2	5.3027603124242313e-5	0.7126207271376943	0.614	0.344	1	CD4	up
Uhrf2	5.306568090081126e-5	1.0432063522741228	0.535	0.279	1	CD4	up
Anp32b	5.825847991583947e-5	0.7154773627492323	0.627	0.393	1	CD4	up
Sema4a	5.852757113021685e-5	0.8178148670357557	0.31	0.066	1	CD4	up
Dock8	5.951322341069318e-5	0.7591374897465913	0.541	0.295	1	CD4	up
Naca	6.106346636569443e-5	-0.4585960957705093	0.864	0.967	1	CD4	down
Phpt1	6.131228452912618e-5	-0.40500542993449185	0.06	0.213	1	CD4	down
Ablim1	6.688461080518142e-5	-0.5643268360358622	0.585	0.836	1	CD4	down
Serinc3	6.968545095881817e-5	0.6683358238142552	0.759	0.557	1	CD4	up
Fgl2	7.205574557659638e-5	1.0472189847216256	0.389	0.131	1	CD4	up
Rpl38	7.227209291713247e-5	-0.2918456133328471	1	1	1	CD4	down
Il18r1	7.257413780094771e-5	1.0076067319911404	0.389	0.148	1	CD4	up
Pbxip1	7.502222347640488e-5	0.9213059831831569	0.377	0.131	1	CD4	up
Aopep	7.672418233563e-5	0.84867796819677	0.402	0.148	1	CD4	up
Ssh2	7.702908062401344e-5	-0.5918593393665059	0.566	0.82	1	CD4	down
Cyth4	7.952964059539726e-5	0.8509456126993111	0.465	0.23	1	CD4	up
Ldha	7.998696225430436e-5	0.6095826077278008	0.778	0.541	1	CD4	up
Scml4	8.205255302106214e-5	-0.5310642547792226	0.082	0.246	1	CD4	down
Arhgdia	9.05543648831508e-5	0.6426030835353986	0.661	0.443	1	CD4	up
mt-Co1	9.121144865055321e-5	-0.31390351044241793	1	1	1	CD4	down
Fam110a	9.191178720167432e-5	0.6431275348127036	0.367	0.098	1	CD4	up
Trac	9.391396205706915e-5	0.6201518443618972	0.823	0.689	1	CD4	up
Rpl31	9.56135753617538e-5	-0.4964992976142688	0.918	0.967	1	CD4	down
Frat2	9.70008023929926e-5	-0.5333535739869995	0.193	0.426	1	CD4	down
Cyba	1.0155199567661484e-4	0.7359910424322855	0.684	0.508	1	CD4	up
Tcf7	1.0196885681894725e-4	-0.4888014868766355	0.272	0.541	1	CD4	down
Cd6	1.1031892654138386e-4	1.160495705446044	0.544	0.361	1	CD4	up
1810041H14Rik	1.1609622987807439e-4	-0.3443092008004306	0.032	0.148	1	CD4	down
Ndufb1-ps	1.1690254370084391e-4	0.5730478172191216	0.741	0.574	1	CD4	up
Retreg1	1.1924681800637744e-4	-0.5296420670993994	0.25	0.492	1	CD4	down
Crip2	1.2378647737487915e-4	0.8845766304608293	0.405	0.148	1	CD4	up
Patj	1.2603023889411053e-4	-0.5146217816628201	0.063	0.213	1	CD4	down
Ccnd3	1.4545725110838925e-4	0.7512344155918047	0.478	0.23	1	CD4	up
Rpl36	1.5843221646737508e-4	-0.3264127452012966	0.987	1	1	CD4	down
Btg2	1.6077282480973134e-4	0.752785291470544	0.778	0.623	1	CD4	up
Slc15a2	1.6091974248168915e-4	-0.3372205471474913	0.019	0.115	1	CD4	down
Rapgef6	1.6345332763884044e-4	-0.6309311362007815	0.494	0.738	1	CD4	down
Myl1	1.6369287379125659e-4	-0.5004901525024679	0.478	0.721	1	CD4	down
Ms4a4b	1.8456016143689728e-4	0.6503380859843819	0.934	0.852	1	CD4	up
Icam2	1.9058488160349522e-4	-0.2618293831110286	0.025	0.131	1	CD4	down
Cd53	1.9131681720796696e-4	-0.5164974756724949	0.731	0.934	1	CD4	down
