gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cd4_8	direction
Ahnak	4.006570513133855e-15	2.1348163965915763	0.826	0.377	8.312832500650122e-11	CD4	up
Rpl12	5.231463179628876e-15	-0.9156014961678229	0.994	1	1.0854239805093991e-10	CD4	down
Rplp1	5.449187796234453e-15	-0.8134544736882807	0.997	1	1.1305974839627243e-10	CD4	down
Rps20	7.85573546318137e-15	-0.8503810527746625	0.994	1	1.6299079939008708e-10	CD4	down
Ccr7	1.3782530486480045e-14	-1.2300608987479082	0.244	0.754	2.8595994253348796e-10	CD4	down
Nkg7	3.942487168974619e-14	2.422355421926546	0.636	0.082	8.17987237818854e-10	CD4	up
Vim	2.3389911141098485e-13	1.7300540716055415	0.845	0.443	4.852938763555114e-9	CD4	up
S1pr1	2.553816337139667e-13	-1.1623208644110494	0.307	0.82	5.298658136297382e-9	CD4	down
S100a4	2.616393046154337e-13	2.2010631736877504	0.804	0.393	5.428492292161018e-9	CD4	up
Lgals3	3.1756699121583946e-13	2.206486499274544	0.709	0.197	6.588879933746237e-9	CD4	up
Txk	3.7162985545180067e-13	-1.3942936991528394	0.278	0.738	7.71057624091396e-9	CD4	down
Cd44	4.253962602106626e-13	1.7045912175322702	0.737	0.213	8.826121606850827e-9	CD4	up
Iqgap1	6.292234021686224e-13	1.602749590669962	0.861	0.623	1.3055127148194577e-08	CD4	up
Rps26	7.059554519034179e-13	-0.6691592490260607	0.987	1	1.4647163716092114e-8	CD4	down
Rpl23	7.126341217483951e-13	-0.704851147234355	0.994	1	1.4785732758035703e-8	CD4	down
Rps24	7.193536675106365e-13	-0.7306067874873658	1	1	1.4925149893510685e-8	CD4	down
Rps15a	8.756789334893309e-13	-0.6496101274978701	1	1	1.8168586512036637e-8	CD4	down
Id2	1.0124692699327716e-12	2.140353465772124	0.709	0.18	2.1006712412565143e-8	CD4	up
Rps19	1.2947221594092267e-12	-0.8018594489545192	0.981	1	2.6862895363422636e-8	CD4	down
Lgals1	1.3002414230305186e-12	2.0539176219034756	0.782	0.377	2.69774090450372e-8	CD4	up
Crip1	1.4670138339090573e-12	1.9235459444666594	0.94	0.803	3.043760302594512e-8	CD4	up
Rplp2	1.6021746316846292e-12	-0.5938836783398544	0.987	1	3.324191925819269e-8	CD4	down
Rps8	1.7572158810335401e-12	-0.6760151832528374	0.994	1	3.645871509968389e-8	CD4	down
H2-D1	3.0754613245008432e-12	0.8850824097204941	0.987	0.984	6.38096715607435e-8	CD4	up
Rps15	3.308413952086052e-12	-0.7417412259160754	0.991	1	6.864297267788141e-8	CD4	down
Il7r	4.522311882729214e-12	-1.0499976865048146	0.339	0.803	9.382892694286573e-8	CD4	down
Satb1	4.5877945738248175e-12	-1.2092915609342016	0.427	0.869	9.518756181771731e-8	CD4	down
Rps7	4.6510815537885394e-12	-0.7557188978717448	0.987	1	9.650064007800462e-8	CD4	down
Rps27a	8.019807597396075e-12	-0.643563578612838	0.991	1	1.6639496803077376e-7	CD4	down
AW112010	1.1440456193507315e-11	2.595632514834212	0.687	0.311	2.3736658510288977e-7	CD4	up
Cd52	1.1889054370037887e-11	1.3236506256553242	0.962	0.77	2.466741000695461e-7	CD4	up
Rpl5	1.3196853078767983e-11	-0.7608691920085588	0.959	1	2.738083076782781e-7	CD4	down
Rps16	1.699536687378889e-11	-0.6451916885948847	0.994	1	3.5261987189737185e-7	CD4	down
Lmna	1.8177812159179567e-11	1.4952368720797993	0.785	0.393	3.7715324667865765e-7	CD4	up
Lef1	2.4409584562833074e-11	-0.9909593441192561	0.282	0.754	5.064500605096606e-7	CD4	down
Rpl41	2.556715273667704e-11	-0.5304327537861191	1	1	5.304672849805752e-7	CD4	down
S100a11	2.583028712456327e-11	1.7385837780613533	0.778	0.443	5.359267972604387e-7	CD4	up
Ifngr2	3.1650659749544776e-11	-0.7733963072587272	0.155	0.541	6.56687888483555e-7	CD4	down
Ly6a	3.1808072966304e-11	1.858237005271209	0.636	0.197	6.599538979048754e-7	CD4	up
Rps9	4.0900855438521315e-11	-0.5867807855942822	0.997	1	8.486109486384402e-7	CD4	down
Rps12	4.498307345224251e-11	-0.5827464467847392	0.997	1	9.333088079871276e-7	CD4	down
S100a10	4.813877467323328e-11	1.359108338547042	0.873	0.59	9.98783296920244e-7	CD4	up
Rpl39	4.8199739796661005e-11	-0.5631388512279649	1	1	1.0000482013011225e-6	CD4	down
Rpl13	7.894192163974591e-11	-0.6144154015129963	0.997	1	1.637886990181448e-6	CD4	down
Eef1b2	1.277003510411264e-10	-0.7555686844387144	0.896	0.984	2.6495268834012903e-6	CD4	down
Rps10	1.3358143647485745e-10	-0.5381663275832196	0.994	1	2.771547643980342e-6	CD4	down
Dennd4a	1.5777857759884947e-10	1.4434352879044123	0.816	0.525	3.2735899280209287e-6	CD4	up
Rpl36a	1.5971719078166646e-10	-0.6253044000891199	0.943	1	3.3138122743380155e-6	CD4	down
S100a6	1.7142017117248524e-10	1.8247997596543692	0.842	0.607	3.556625711486724e-6	CD4	up
Npm1	4.055325440747084e-10	-0.7030906688181244	0.877	0.967	8.41398922446205e-6	CD4	down
Rpl22	6.059644502997884e-10	-0.6105256566035515	0.972	1	1.2572550414820009e-5	CD4	down
Tpm1	6.657503264761237e-10	-0.6381142368116826	0.576	0.934	1.3812987773726614e-5	CD4	down
Rps14	6.902935111905473e-10	-0.5553727399599433	0.994	1	1.4322209770181476e-5	CD4	down
Rps3a1	7.015881376847775e-10	-0.5444500717508829	0.997	1	1.4556550680683764e-5	CD4	down
Jund	7.189986159439366e-10	0.9611411717392944	0.953	0.885	1.4917783283604796e-5	CD4	up
Rps6	7.576966215835182e-10	-0.5823831675555668	0.984	1	1.5720689504614837e-5	CD4	down
Tmsb10	7.607995076241339e-10	-0.6490453092469384	0.991	1	1.578506818418553e-5	CD4	down
Rpl8	9.050904852447452e-10	-0.508328054821999	0.994	1	1.8778817387857973e-5	CD4	down
Rpl26	9.385089217968826e-10	-0.5522626486704691	0.997	1	1.9472183109441722e-5	CD4	down
mt-Cytb	1.004951195029008e-9	-0.5606085659267936	1	1	2.085072739446186e-5	CD4	down
Rpl18a	1.3302033685982921e-9	-0.48627084157090117	0.994	1	2.7599059491677367e-5	CD4	down
Cd2	1.727050061479038e-9	1.2957784937249468	0.785	0.557	3.583283467556708e-5	CD4	up
Rpl32	1.8210467858197053e-9	-0.5300887132634644	0.997	1	3.778307871218725e-5	CD4	down
Rpl18	1.8280590675617282e-9	-0.5785227385042377	0.978	1	3.792856953377074e-5	CD4	down
Rpl23a	2.0498719897331814e-9	-0.6156710873203037	0.972	1	4.2530744042984045e-5	CD4	down
mt-Co3	2.2538901102753836e-9	-0.5141156752488287	1	1	4.676371200799366e-5	CD4	down
Tagln2	2.5118924239476344e-9	1.199569359091253	0.778	0.475	5.211674401206552e-5	CD4	up
Rps29	2.852578879158549e-9	-0.5725609130099008	1	1	5.918530658478157e-5	CD4	down
mt-Nd4	2.8975752252354176e-9	-0.5921733444939692	0.997	1	6.0118890773184445e-5	CD4	down
Rps4x	3.1824721698286343e-9	-0.5441581703385072	1	1	6.60299325796045e-5	CD4	down
Dusp10	3.1849897148699795e-9	-0.7725442758786731	0.339	0.754	6.608216660412234e-5	CD4	down
Rpl10a	3.225109249471707e-9	-0.6799317952303716	0.943	0.984	6.691456670803898e-5	CD4	down
Rps18	3.309039022084945e-9	-0.5757956087964011	0.991	1	6.865594163021843e-5	CD4	down
Plec	4.133903727725956e-9	1.2857961118356238	0.62	0.213	8.577023454285813e-5	CD4	up
Rpl28	4.444636887733521e-9	-0.5319655793870339	0.978	1	9.221732614669509e-5	CD4	down
