ident_1	ident_2	gene	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	3_p_val	3_avg_log2FC	3_pct.1	3_pct.2	3_p_val_adj	max_pval	minimump_p_val	avg_fc	min_abs_fc	max_abs_fc	all_same_direction	direction	n_same_direction	min_p	max_p	significant
CHIKV	mock	Vim	3.6450665708889415e-10	1.9229385175141749	0.791	0.441	7.562784121280376e-6	2.7366029278287883e-21	2.3978418050095636	0.795	0.486	5.67790375465917e-17	0.19108234770109636	0.5816871324943733	0.613	0.63	1	0.19108234770109636	8.209808783486352e-21	1.6341558183393705	0.5816871324943733	2.3978418050095636	TRUE	up	3	5.67790375465917e-17	1	TRUE
CHIKV	mock	Lgals3	3.612022603559455e-10	1.8045520188318995	0.525	0.137	7.4942244978651565e-6	3.8394348861931685e-18	2.0195498825254576	0.586	0.211	7.966059501873586e-14	0.0017578960023463524	0.8235234329646819	0.41	0.269	1	0.0017578960023463524	1.151830465857948e-17	1.549208444774013	0.8235234329646819	2.0195498825254576	TRUE	up	3	7.966059501873586e-14	1	TRUE
CHIKV	mock	S100a4	1.2148007868031093e-4	1.6886121828171263	0.614	0.431	1	1.6734626351227263e-15	2.082470827101441	0.709	0.446	3.4721002753526325e-11	0.008254154270381628	0.8365146224178068	0.565	0.509	1	0.008254154270381628	5.02038790536815e-15	1.535865877445458	0.8365146224178068	2.082470827101441	TRUE	up	3	3.4721002753526325e-11	1	FALSE
CHIKV	mock	Lgals1	5.422633926869134e-7	1.2701692946126553	0.772	0.48	0.01125088087146808	1.030014711737517e-17	2.0947230949345363	0.734	0.469	2.1370745239130003e-13	0.23790088768654988	0.8176893707581194	0.561	0.602	1	0.23790088768654988	3.0900441352125533e-17	1.3941939201017703	0.8176893707581194	2.0947230949345363	TRUE	up	3	2.1370745239130003e-13	1	TRUE
CHIKV	mock	Cd74	1.02141746444912e-4	0.9194629524241631	0.297	0.088	1	0.18659677140693956	1.2347552496080794	0.237	0.183	1	1.8595529576488948e-7	1.8185928931553073	0.331	0.093	0.003858200476529927	0.18659677140693956	5.57865783556558e-7	1.3242703650625165	0.9194629524241631	1.8185928931553073	TRUE	up	3	0.003858200476529927	1	FALSE
CHIKV	mock	Crip1	3.0174261404441354e-7	1.430689594781465	0.937	0.902	0.0062605557561934925	2.0588298688523857e-15	1.870070129145013	0.953	0.926	4.2716602118949295e-11	0.09317367608231411	0.487134342583623	0.948	0.926	1	0.09317367608231411	6.176489606557131e-15	1.262631355503367	0.487134342583623	1.870070129145013	TRUE	up	3	4.2716602118949295e-11	1	TRUE
CHIKV	mock	Lmna	6.3096407165066185e-6	1.4840455803372448	0.563	0.304	0.13091242558607932	4.414459266323069e-16	1.8568731375936027	0.655	0.314	9.159120085767104e-12	0.011000617908612485	0.39539161733275474	0.481	0.361	1	0.011000617908612485	1.3243377798969163e-15	1.2454367784212008	0.39539161733275474	1.8568731375936027	TRUE	up	3	9.159120085767104e-12	1	FALSE
CHIKV	mock	Id2	6.933416235769172e-4	0.7238119529268014	0.544	0.314	1	4.079640301223085e-13	1.4557809057267967	0.655	0.36	8.464437696977657e-9	7.3760983963160015e-9	1.4568274822151333	0.533	0.25	1.530392895267644e-4	6.933416235769172e-4	1.2238920903664255e-12	1.2121401136229104	0.7238119529268014	1.4568274822151333	TRUE	up	3	8.464437696977657e-9	1	TRUE
CHIKV	mock	S100a6	1.4779988454810993e-5	1.5387473692437705	0.797	0.569	0.3066552004604185	5.252592029038177e-11	1.65343248144899	0.795	0.72	1.089807794184841e-6	0.029812146504721086	0.40730938033883923	0.718	0.685	1	0.029812146504721086	1.5757776086286882e-10	1.1998297436771999	0.40730938033883923	1.65343248144899	TRUE	up	3	1.089807794184841e-6	1	FALSE
CHIKV	mock	S100a11	1.1404045188592417e-8	1.3563295896544538	0.772	0.49	0.00023661112957291545	1.2412341566073594e-13	1.3803076183703364	0.799	0.611	2.575312628128949e-9	0.11164868294959115	0.5015439608858951	0.662	0.648	1	0.11164868294959115	3.7237024698216144e-13	1.0793937229702284	0.5015439608858951	1.3803076183703364	TRUE	up	3	2.575312628128949e-9	1	TRUE
CHIKV	mock	Ahnak	2.915675921489366e-8	1.2588199107407059	0.804	0.559	6.049444401906136e-4	2.6942327158512877e-18	1.4229623557922548	0.842	0.594	5.5899940388482516e-14	0.00963779058440947	0.5111693565021991	0.748	0.657	1	0.00963779058440947	8.082698147553832e-18	1.0643172076783867	0.5111693565021991	1.4229623557922548	TRUE	up	3	5.5899940388482516e-14	1	TRUE
CHIKV	mock	AA467197	1.139010660095645e-5	1.1247932290782592	0.209	0.02	0.23632193175664443	1.4016762256017255e-11	1.0939023140502964	0.259	0.017	2.90819783287846e-7	1.1486516584864549e-4	0.8379007148389713	0.139	0.009	1	1.1486516584864549e-4	4.205028676746237e-11	1.018865419322509	0.8379007148389713	1.1247932290782592	TRUE	up	3	2.90819783287846e-7	1	FALSE
CHIKV	mock	Ifng	6.039778553101763e-6	1.0024531435777206	0.222	0.02	0.12531332541975537	1.7993623048324016e-13	1.476717898011869	0.299	0.017	3.7333169100662664e-9	0.042161367179828005	0.5631080560940916	0.131	0.065	1	0.042161367179828005	5.398086914496238e-13	1.014093032561227	0.5631080560940916	1.476717898011869	TRUE	up	3	3.7333169100662664e-9	1	FALSE
CHIKV	mock	Ly6a	1.8180497611111646e-6	0.9215674217914833	0.5	0.196	0.03772089644353444	9.158903627877672e-13	1.4549751589087767	0.511	0.223	1.9002893247120596e-8	0.029332097156614154	0.6520793747091026	0.289	0.204	1	0.029332097156614154	2.7476710883607856e-12	1.009540651803121	0.6520793747091026	1.4549751589087767	TRUE	up	3	1.9002893247120596e-8	1	TRUE
CHIKV	mock	AW112010	1.6580878957067393e-4	0.9268554335943784	0.741	0.52	1	2.3498840024549482e-11	1.372401185451833	0.748	0.537	4.875539328293527e-7	0.007827887367420919	0.6833489433059605	0.689	0.648	1	0.007827887367420919	7.049652007199194e-11	0.9942018541173906	0.6833489433059605	1.372401185451833	TRUE	up	3	4.875539328293527e-7	1	FALSE
CHIKV	mock	Cd2	9.443815641579236e-12	1.3346211851206018	0.835	0.441	1.95940286931486e-7	5.817308759298596e-22	1.3173607213644098	0.817	0.503	1.2069752213792727e-17	0.057244759941110654	0.2968009150439759	0.575	0.537	1	0.057244759941110654	1.7451926277895747e-21	0.9829276071763292	0.2968009150439759	1.3346211851206018	TRUE	up	3	1.2069752213792727e-17	1	TRUE
CHIKV	mock	Klf6	6.0185538003752924e-5	1.1268539309004293	0.829	0.559	1	3.525043365804652e-9	1.3372660615229224	0.806	0.64	7.313759975371491e-5	0.0012199918736145827	0.4439071145028235	0.723	0.694	1	0.0012199918736145827	1.0575130060136167e-8	0.9693423689753917	0.4439071145028235	1.3372660615229224	TRUE	up	3	7.313759975371491e-5	1	FALSE
CHIKV	mock	Cd28	1.6131660879203764e-8	1.3469600870583915	0.741	0.402	3.346996999217197e-4	6.62336095648174e-9	0.9437193527012089	0.712	0.531	1.3742149312508315e-4	0.01831828308933119	0.6068100869198125	0.555	0.519	1	0.01831828308933119	1.9870082737838534e-8	0.965829842226471	0.6068100869198125	1.3469600870583915	TRUE	up	3	1.3742149312508315e-4	1	TRUE
CHIKV	mock	S100a10	1.052997945193645e-7	1.1375501206147272	0.886	0.618	0.002184760136687775	4.984264127833408e-19	1.389358608099866	0.903	0.703	1.0341351212428754e-14	0.729870746416364	0.31670275914898216	0.726	0.815	1	0.729870746416364	1.4952792383500135e-18	0.9478704959545251	0.31670275914898216	1.389358608099866	TRUE	up	3	1.0341351212428754e-14	1	TRUE
CHIKV	mock	Klrk1	3.7469804023778557e-7	1.2094884034478923	0.348	0.069	0.007774234938853575	1.532733194096996e-12	1.2930162391871614	0.439	0.12	3.180114831112447e-8	0.01899905572524047	0.33451959405065446	0.343	0.231	1	0.01899905572524047	4.598199582283944e-12	0.9456747455619027	0.33451959405065446	1.2930162391871614	TRUE	up	3	3.180114831112447e-8	1	TRUE
CHIKV	mock	Anxa1	2.4138033510608434e-5	1.051092382118068	0.342	0.118	0.5008159192781038	4.873550553528303e-8	1.054392790911018	0.403	0.183	0.0010111642688460524	0.019833234663986406	0.6815754577572302	0.242	0.157	1	0.019833234663986406	1.4620650948040077e-7	0.9290202102621054	0.6815754577572302	1.054392790911018	TRUE	up	3	0.0010111642688460524	1	FALSE
CHIKV	mock	H2-Ab1	2.1758986139900266e-5	0.6295648655468292	0.247	0.039	0.4514554444306507	0.003385271405365222	0.9804188534081424	0.209	0.103	1	1.5342351096212837e-6	1.169903014616948	0.224	0.028	0.03183231005442239	0.003385271405365222	4.602698267235347e-6	0.9266289111906398	0.6295648655468292	1.169903014616948	TRUE	up	3	0.03183231005442239	1	FALSE
CHIKV	mock	Cd44	1.1234527472866955e-5	0.8880989564665862	0.589	0.304	0.2330939760070436	4.788791233237376e-12	1.1929129876813285	0.597	0.314	9.935784050720908e-8	8.696819423363133e-4	0.6831217889896626	0.511	0.398	1	8.696819423363133e-4	1.4366373699643325e-11	0.9213779110458591	0.6831217889896626	1.1929129876813285	TRUE	up	3	9.935784050720908e-8	1	FALSE
CHIKV	mock	Nkg7	9.365135519092163e-6	1.1462094217420282	0.639	0.431	0.1943078317501242	6.480303902468811e-13	1.3142529204750808	0.719	0.486	1.3445334536842288e-8	0.724540480225914	0.23740118464207205	0.613	0.648	1	0.724540480225914	1.944091170739386e-12	0.8992878422863937	0.23740118464207205	1.3142529204750808	TRUE	up	3	1.3445334536842288e-8	1	FALSE
CHIKV	mock	Ccl4	4.311666323135216e-5	0.8228186347130031	0.171	0.01	0.8945845287240947	1.2298827503794116e-5	1.9148126837059583	0.176	0.04	0.2551760730487203	0.16448525075946333	-0.07873535115158126	0.111	0.065	1	0.16448525075946333	3.6896028729768734e-5	0.8862986557557934	-0.07873535115158126	1.9148126837059583	FALSE	up	2	0.2551760730487203	1	FALSE
CHIKV	mock	Ctla2a	0.0013984868698014542	0.9575407346502032	0.614	0.441	1	1.7125213521841017e-10	1.4828071216785061	0.626	0.377	3.553139301511574e-6	0.7593290589052444	0.20421419449954348	0.563	0.639	1	0.7593290589052444	5.137564055672487e-10	0.8815206836094176	0.20421419449954348	1.4828071216785061	TRUE	up	3	3.553139301511574e-6	1	FALSE
CHIKV	mock	H2-Aa	0.012590507669642996	0.48390623116640485	0.184	0.069	1	0.02211470133691641	1.0069379561496752	0.194	0.114	1	6.752205981719528e-4	1.146196090827163	0.255	0.12	1	0.02211470133691641	0.0020242943337957747	0.8790134260477477	0.48390623116640485	1.146196090827163	TRUE	up	3	1	1	FALSE
CHIKV	mock	Bhlhe40	0.010930613238432113	0.4885151874271355	0.405	0.245	1	6.346686313483438e-8	1.1315581955749334	0.507	0.269	0.001316810476321544	1.1195093930293515e-4	1.0107304703558952	0.402	0.241	1	0.010930613238432113	1.9040057732037516e-7	0.876934617785988	0.4885151874271355	1.1315581955749334	TRUE	up	3	0.001316810476321544	1	FALSE
