ident_1	ident_2	gene	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	3_p_val	3_avg_log2FC	3_pct.1	3_pct.2	3_p_val_adj	max_pval	minimump_p_val	avg_fc	min_abs_fc	max_abs_fc	all_same_direction	direction	n_same_direction	min_p	max_p	significant
CHIKV	mock	H2-Ab1	0	3.2739696821353927	0.927	0.213	0	0	2.7987647602395134	0.935	0.329	0	1.0218199302962052e-241	3.24840529750073	0.879	0.241	2.1200719913785664e-237	1.0218199302962052e-241	0	3.107046579958545	2.7987647602395134	3.2739696821353927	TRUE	up	3	0	2.1200719913785664e-237	TRUE
CHIKV	mock	H2-Aa	0	3.2828785375520124	0.899	0.191	0	0	2.63142702657623	0.925	0.304	0	5.775076979092967e-232	3.1168383714008834	0.871	0.248	1.1982129716222087e-227	5.775076979092967e-232	0	3.010381311843042	2.63142702657623	3.2828785375520124	TRUE	up	3	0	1.1982129716222087e-227	TRUE
CHIKV	mock	Cd74	0	3.1942176731938985	0.935	0.254	0	0	2.672352189323207	0.948	0.391	0	3.1568529428797375e-250	3.0920319134750884	0.921	0.298	6.549838485886879e-246	3.1568529428797375e-250	0	2.986200591997398	2.672352189323207	3.1942176731938985	TRUE	up	3	0	6.549838485886879e-246	TRUE
CHIKV	mock	H2-Eb1	0	3.2350451304257573	0.867	0.153	0	1.0732926143610802e-304	2.688457552447177	0.874	0.248	2.2268675162763693e-300	1.8174811306787743e-211	2.985389140711584	0.815	0.186	3.770909849932321e-207	1.8174811306787743e-211	0	2.969630607861506	2.688457552447177	3.2350451304257573	TRUE	up	3	0	3.770909849932321e-207	TRUE
CHIKV	mock	Il1b	5.762646189754738e-80	1.8616248980723693	0.405	0.114	1.195633831450313e-75	5.64192364496845e-72	1.8871967429433978	0.422	0.145	1.170586317858054e-67	9.394206217814282e-64	1.931964651884114	0.402	0.086	1.9491099060721072e-59	9.394206217814282e-64	1.728793856926401e-79	1.893595430966627	1.8616248980723693	1.931964651884114	TRUE	up	3	1.195633831450313e-75	1.9491099060721072e-59	TRUE
CHIKV	mock	Clec4e	1.2619998748748225e-118	1.2945204803347918	0.569	0.173	2.618397340390282e-114	4.330271800777712e-88	1.1172013480709189	0.546	0.213	8.984447932253597e-84	1.189430141121698e-119	1.7932143834891558	0.595	0.124	2.467829656799299e-115	4.330271800777712e-88	3.568290423365087e-119	1.4016454039649555	1.1172013480709189	1.7932143834891558	TRUE	up	3	2.467829656799299e-115	8.984447932253597e-84	TRUE
CHIKV	mock	H2-K1	6.502341090786045e-265	1.3529015134772293	0.987	0.91	1.3491057295162887e-260	9.85313479833029e-305	1.3331775650574618	0.984	0.936	2.0443284079575683e-300	5.860852818700798e-218	1.4260268281216808	0.991	0.898	1.2160097428240414e-213	5.860852818700798e-218	2.955940439499274e-304	1.3707019688854574	1.3331775650574618	1.4260268281216808	TRUE	up	3	2.0443284079575683e-300	1.2160097428240414e-213	TRUE
CHIKV	mock	S100a8	1.1514220379754638e-166	1.1158803245621804	0.707	0.171	2.3889704443914924e-162	3.2726227418150597e-40	-0.5596429564494052	0.318	0.499	6.790037664717886e-36	2.8612623458595407e-105	3.5206220161019948	0.734	0.317	5.936547115189374e-101	3.2726227418150597e-40	3.4542661139263657e-166	1.35895312807159	-0.5596429564494052	3.5206220161019948	FALSE	up	2	2.3889704443914924e-162	6.790037664717886e-36	TRUE
CHIKV	mock	H2-DMa	5.9308804824981584e-267	1.4497084658355148	0.823	0.18	1.2305390825087179e-262	1.037627232838602e-214	1.2304830581179311	0.795	0.246	2.1528689826935315e-210	7.120743105018411e-159	1.385121612918701	0.748	0.199	1.4774117794292199e-154	7.120743105018411e-159	1.7792641447495638e-266	1.3551043789573822	1.2304830581179311	1.4497084658355148	TRUE	up	3	1.2305390825087179e-262	1.4774117794292199e-154	TRUE
CHIKV	mock	H2-DMb1	1.6939619152386607e-274	1.5793102799908638	0.772	0.132	3.514632181737173e-270	8.121820216669535e-192	1.26840644217472	0.732	0.223	1.685115258554595e-187	4.4197167008932764e-122	1.2000306350020515	0.665	0.184	9.17002821101337e-118	4.4197167008932764e-122	5.081885745716162e-274	1.3492491190558784	1.2000306350020515	1.5793102799908638	TRUE	up	3	3.514632181737173e-270	9.17002821101337e-118	TRUE
