gene	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	3_p_val	3_avg_log2FC	3_pct.1	3_pct.2	3_p_val_adj	max_pval	minimump_p_val	min_FC
Cd74	1.3055571737169013e-202	2.9787163568350223	0.932	0.336	2.708770024027827e-198	0	3.1563635905582266	0.924	0.251	0	1.0608082797970706e-185	2.6401756340480165	0.934	0.3	2.200965018922962e-181	1.0608082797970706e-185	0	2.6401756340480165
H2-Aa	1.3039914383738727e-194	2.8372886275288285	0.908	0.259	2.705521436338111e-190	0	3.3337253498628274	0.889	0.187	0	4.733805654548685e-169	2.5892481887976544	0.895	0.259	9.821699972057611e-165	4.733805654548685e-169	0	2.5892481887976544
H2-Ab1	2.281129477413846e-194	2.9755564891751867	0.904	0.273	4.732887439738248e-190	0	3.2527578321568313	0.901	0.207	0	1.605279397384949e-173	2.5231338749706675	0.903	0.256	3.330633693694292e-169	1.605279397384949e-173	0	2.5231338749706675
H2-Eb1	2.032453058121634e-178	2.9057265609587457	0.853	0.204	4.216933604990767e-174	0	3.2646414053174135	0.849	0.149	0	1.6036147256209036e-148	2.2560124048419574	0.845	0.208	3.3271798327182506e-144	1.6036147256209036e-148	0	2.2560124048419574
Il1b	2.2019022964201536e-49	2.18239271606304	0.392	0.084	4.5685068846125347e-45	6.952349429408624e-72	2.0496780354667234	0.36	0.099	1.4424734596137014e-67	9.511037803678805e-39	1.7077068311769377	0.365	0.078	1.9733501235072784e-34	9.511037803678805e-39	2.0857048288226002e-71	1.7077068311769377
Clec4e	4.673345051002604e-74	1.5343836669498314	0.501	0.087	9.696256311820203e-70	7.756034975767082e-119	1.4646026532220624	0.52	0.142	1.6092221367721542e-114	2.7484735592138676e-74	1.641345180046339	0.538	0.093	5.7025329406569326e-70	4.673345051002604e-74	2.3268104927301165e-118	1.4646026532220624
H2-DMa	1.2379449979211489e-126	1.3558603324023333	0.735	0.149	2.5684882816867996e-122	1.4448877931547603e-240	1.476846609013557	0.752	0.16	2.997853193237497e-236	7.592138505794229e-114	1.3416256193681884	0.711	0.134	1.5752168971821865e-109	7.592138505794229e-114	4.334663379464352e-240	1.3416256193681884
H2-K1	6.531978612941259e-151	1.3474812810686703	0.935	0.852	1.3552549226130525e-146	2.4262388053131925e-242	1.3342152251896184	0.948	0.886	5.033960273263812e-238	1.4033528252810713e-171	1.5122307614802701	0.967	0.772	2.9116764418931668e-167	6.531978612941259e-151	7.278716415939824e-242	1.3342152251896184
H2-D1	3.08613486659686e-178	1.3516830792723113	0.956	0.891	6.403112621215166e-174	1.2905800813437794e-267	1.2723014301062157	0.952	0.948	2.6776955527720733e-263	8.221486510200865e-164	1.2793533459677962	0.975	0.868	1.7057940211364754e-159	8.221486510200865e-164	3.871740244031649e-267	1.2723014301062157
Mpeg1	2.9748867491160374e-113	1.3048525828507718	0.787	0.255	6.172295027065954e-109	7.676536152309924e-190	1.4693795846849476	0.772	0.28	1.5927277208812632e-185	5.8630864734926176e-96	1.262110450746452	0.751	0.254	1.2164731815202483e-91	5.8630864734926176e-96	2.3029608456929998e-189	1.262110450746452
Gbp2	1.308377324024508e-47	1.291776180690707	0.328	0.042	2.714621271886049e-43	4.4737166301043436e-83	1.217451140812488	0.343	0.07	9.282067264140492e-79	1.2621952634369397e-40	1.2403920400890593	0.34	0.058	2.6188027325789625e-36	1.2621952634369397e-40	1.342114989031312e-82	1.217451140812488
Cd52	1.2092973878403347e-71	1.073813617878344	0.679	0.24	2.5090502202911263e-67	9.561126214891705e-134	1.275277752187053	0.686	0.256	1.983742467065731e-129	4.112381128116121e-84	1.0687159608897978	0.71	0.222	8.532368364615328e-80	1.2092973878403347e-71	2.8683378644674307e-133	1.0687159608897978
Nlrp3	3.213155611639421e-89	1.7163558801584577	0.648	0.192	6.66665526302947e-85	2.3251678489678412e-77	1.0665273825858916	0.66	0.346	4.824258253038477e-73	7.9758330740686415e-81	1.5916994036664807	0.606	0.148	1.6548258462077617e-76	2.3251678489678412e-77	9.639466834918128e-89	1.0665273825858916
H2-DMb1	1.263286014503006e-117	1.4399274750866318	0.678	0.124	2.6210658228908365e-113	8.298970362915552e-240	1.5633965048846152	0.692	0.117	1.7218703708977187e-235	5.587067603610599e-84	1.0417911675661842	0.638	0.138	1.1592047863971271e-79	5.587067603610599e-84	2.4896911088749414e-239	1.0417911675661842
Acod1	9.212619268615897e-36	1.2551416954517451	0.212	0.006	1.9114342458524265e-31	6.274408424151449e-68	1.1539253331973764	0.221	0.023	1.3018142598429427e-63	9.082265941616279e-30	1.0085753714414758	0.216	0.012	1.8843885375665454e-25	9.082265941616279e-30	1.8823225272454555e-67	1.0085753714414758
Ccl4	2.5314765088526663e-43	2.259549343186368	0.398	0.109	5.2523074605675117e-39	6.931342114951822e-26	0.9944235419606158	0.366	0.191	1.438114862010204e-21	4.1910499450909406e-19	1.130070687801238	0.291	0.106	8.695590426074684e-15	4.1910499450909406e-19	7.594429526557947e-43	0.9944235419606158
H2-Q7	1.531588205727115e-89	1.0388035904075514	0.48	0.029	3.1777392092426185e-85	2.7651689557602884e-205	1.1246117562195388	0.523	0.037	5.737172549411447e-201	6.496930659371361e-79	0.9661773071741977	0.476	0.03	1.3479831732063701e-74	6.496930659371361e-79	8.295506867280722e-205	0.9661773071741977
Tnfaip2	9.568798116458515e-53	1.1757240578996517	0.763	0.478	1.9853342332028125e-48	9.179330248502967e-44	0.9750632762006142	0.747	0.57	1.9045274399593955e-39	3.165897498636659e-38	0.9579899689968772	0.724	0.464	6.56860413017134e-34	3.165897498636659e-38	2.8706394349375527e-52	0.9579899689968772
Psmb8	1.462085330781263e-86	1.2056428763260305	0.672	0.231	3.0335346443049647e-82	1.184848750462867e-101	0.9945213049671446	0.682	0.33	2.4583241874603564e-97	8.567759283697426e-62	0.9504015714003361	0.642	0.295	1.777638696181542e-57	8.567759283697426e-62	3.55454625138862e-101	0.9504015714003361
B2m	2.906065108780567e-153	1.116126647703735	0.954	0.955	6.02950388769792e-149	2.0955340796612453e-183	0.9316363734260968	0.946	0.969	4.347814108481152e-179	5.0098870178282964e-188	1.4141167942559747	0.978	0.877	1.0394513584590148e-183	2.906065108780567e-153	1.5029661053485075e-187	0.9316363734260968
Cd14	4.057422559947145e-55	1.0687832199568237	0.848	0.649	8.418340327378336e-51	9.752411187706795e-60	0.924225686382393	0.849	0.75	2.023430273225406e-55	3.072991582335037e-36	0.9532865277894063	0.821	0.654	6.375842935028734e-32	3.072991582335037e-36	2.925723356312041e-59	0.924225686382393
Fabp5	3.6103026466475996e-53	0.9716371340526029	0.418	0.083	7.49065593126444e-49	3.814867862543263e-80	1.0129370192044707	0.393	0.102	7.915087841204761e-76	1.899572668855194e-32	0.8649570106697352	0.338	0.083	3.9412333733407567e-28	1.899572668855194e-32	1.1444603587629731e-79	0.8649570106697352
Ctss	1.6731438211541423e-59	0.8937622342358589	0.938	0.926	3.471438800130614e-55	1.3094421679099631e-104	1.0407398293171628	0.926	0.96	2.7168306099795916e-100	7.309314418280015e-43	0.8537279268761702	0.959	0.887	1.5165365555047375e-38	7.309314418280015e-43	3.9283265037298446e-104	0.8537279268761702
Il1rn	1.0934851155280643e-49	1.2235275434439659	0.372	0.063	2.2687629176976278e-45	9.404731097058889e-63	0.84620416562606815	0.4	0.133	1.9512936080177784e-58	1.5383133014121107e-37	1.1012481224145427	0.362	0.081	3.1916924377698474e-33	1.5383133014121107e-37	2.8214193291176852e-62	0.84620416562606815
Clec4d	4.217166119377172e-64	1.0222377059745633	0.554	0.166	8.749776264483756e-60	5.723921104356841e-72	0.8343936684204958	0.584	0.274	1.1875991507319575e-67	2.6156539266755e-69	1.245799518045906	0.555	0.141	5.426958767066328e-65	4.217166119377172e-64	1.7171763313070562e-71	0.8343936684204958
Rgs1	1.9115456106673942e-69	1.1947510076436358	0.707	0.309	3.966074833012709e-65	8.179096750872014e-42	0.8300421054659473	0.69	0.455	1.6969989938709255e-37	7.384183109062277e-57	1.211330546233228	0.647	0.261	1.5320703114682411e-52	8.179096750872014e-42	5.734636832002135e-69	0.8300421054659473
Slamf7	4.783631089886293e-79	0.9875187521579911	0.585	0.136	9.92507778529608e-75	8.13774120747298e-126	0.8282500460489832	0.601	0.164	1.6884185457264938e-121	5.490037736627967e-68	0.9587426549482533	0.54	0.122	1.1390730295955705e-63	5.490037736627967e-68	2.441322362241897e-125	0.8282500460489832
Pde4b	9.559255606205671e-64	0.8720575161498209	0.516	0.125	1.9833543531755527e-59	1.2304179009428673e-96	0.8175778393547836	0.574	0.21	2.552871060876261e-92	3.6040171839964363e-63	0.957547375230987	0.548	0.139	7.477614853355806e-59	3.6040171839964363e-63	3.6912537028285983e-96	0.8175778393547836
Cxcl16	3.8808073708827786e-62	0.8968041141774927	0.736	0.379	8.051899133107588e-58	1.0546194393292885e-68	0.809795400229109	0.716	0.437	2.188124412720408e-64	4.308412426662828e-58	0.9185053025625016	0.724	0.374	8.939094102840036e-54	4.308412426662828e-58	3.1638583179878213e-68	0.809795400229109
Clec12a	4.973496689546737e-90	1.085243930899222	0.739	0.268	1.031901093147157e-85	8.025506717153493e-88	0.8092181527975197	0.709	0.358	1.6651321336750067e-83	3.522860332486694e-97	1.2440046936343117	0.73	0.24	7.309230617843393e-93	8.025506717153493e-88	1.0568580997460173e-96	0.8092181527975197
Tnfaip3	1.5719379278865168e-64	1.0681477180822405	0.719	0.351	3.261456812778945e-60	6.2288040404291966e-65	0.8088569020962861	0.721	0.46	1.2923522623082497e-60	2.417586384672733e-63	1.0857544234721224	0.701	0.323	5.016008230918987e-59	2.417586384672733e-63	1.8686412121287515e-64	0.8088569020962861
Ccrl2	9.169310015096303e-55	0.964200490148474	0.398	0.066	1.902448441932181e-50	2.140158186160748e-76	0.8661863181815476	0.43	0.132	4.44040020464632e-72	3.3473719497117676e-36	0.8040656494882257	0.363	0.09	6.945127321261975e-32	3.3473719497117676e-36	6.420474558482233e-76	0.8040656494882257
Cxcl2	1.4282885853343316e-83	1.8403600156646363	0.805	0.489	2.9634131568516714e-79	5.189259695199243e-46	0.798839360640363	0.812	0.627	1.0766676015599389e-41	5.043289171496699e-84	2.080934714505999	0.815	0.469	1.0463816373021351e-79	5.189259695199243e-46	1.5129867514490161e-83	0.798839360640363
Aif1	5.496645553461825e-68	0.9935545736641083	0.751	0.356	1.1404440194322594e-63	8.431380299063142e-89	0.9548032005617715	0.735	0.402	1.7493427844496207e-84	1.5855378290654728e-54	0.7951166232601874	0.702	0.335	3.289673887745043e-50	1.5855378290654728e-54	2.5294140897189087e-88	0.7951166232601874
Tnfsf9	6.910100447485961e-35	1.0456791380899244	0.486	0.213	1.4337076408443873e-30	2.353215393710585e-24	0.7829443719087057	0.477	0.308	4.882451298870722e-20	5.30204079009505e-39	1.1960037798080938	0.476	0.18	1.1000674231289208e-34	2.353215393710585e-24	1.5906122370285044e-38	0.7829443719087057
Lgals3	9.295367874514736e-51	0.8867794325703451	0.931	0.816	1.9286029266043175e-46	3.8511005260142456e-43	0.7713451012697008	0.908	0.891	7.990263371374357e-39	2.5185207058567992e-54	0.9640689347203262	0.934	0.788	5.225426760511687e-50	3.8511005260142456e-43	7.555562117570406e-54	0.7713451012697008
Nfkbia	4.718930493555399e-46	0.8367304933456445	0.853	0.71	9.790836988028742e-42	3.117170805873467e-56	0.7744241355485575	0.861	0.796	6.46750598802627e-52	1.6243981023750128e-40	0.7628022874628213	0.853	0.668	3.370301182807677e-36	1.6243981023750128e-40	9.351512417620414e-56	0.7628022874628213
Iigp1	8.776488539624116e-33	0.8393713854341529	0.228	0.023	1.8209458422012115e-28	6.254171637426879e-72	0.9313088777771303	0.23	0.022	1.2976155313333287e-67	1.4161450720374047e-29	0.7559410456574059	0.222	0.018	2.9382177954632073e-25	1.4161450720374047e-29	1.8762514912280475e-71	0.7559410456574059
Slfn2	1.414335534373542e-71	1.2003614182347744	0.833	0.59	2.9344633667182248e-67	9.533122572268184e-55	0.7442182291243862	0.858	0.721	1.9779322712942029e-50	1.9023157256249803e-63	1.0506901149045067	0.838	0.541	3.946924667526709e-59	9.533122572268184e-55	4.243006603120562e-71	0.7442182291243862
Cxcl10	3.879330493594385e-13	0.9049342880828264	0.113	0.02	8.048834908109631e-9	2.850870280681705e-20	0.7421938136605504	0.13	0.039	5.914985658358401e-16	7.712572844930957e-9	0.7541301022574968	0.113	0.034	1.600204613866275e-4	7.712572844930957e-9	8.552610842045117e-20	0.7421938136605504
Lyz2	4.7542940617691686e-91	1.1519373375295103	0.971	0.971	9.864209319358671e-87	8.246672899961513e-92	0.8930338104332822	0.966	0.985	1.7110196932840146e-87	6.6305558090708804e-46	0.7356934553483976	0.986	0.958	1.3757077192660262e-41	6.6305558090708804e-46	2.4740018699884347e-91	0.7356934553483976
AW112010	3.031318736370456e-42	0.8045515010940343	0.309	0.042	6.289380114221422e-38	8.05180371082122e-92	0.7246999133598698	0.304	0.034	1.6705882339211867e-87	1.4745612296088008e-41	0.9421878052971544	0.309	0.032	3.05941963919234e-37	1.4745612296088008e-41	2.415541113246382e-91	0.7246999133598698
Basp1	5.20954930907481e-51	0.9031738300687735	0.443	0.109	1.0808772906468416e-46	1.5823339046322572e-69	0.7149743488036242	0.461	0.163	3.2830263853310073e-65	2.0249865206406966e-56	1.0493609338859045	0.483	0.109	4.2014420330253176e-52	5.20954930907481e-51	4.747001713896737e-69	0.7149743488036242
AY036118	2.0605947576672617e-34	0.69939815300962	0.767	0.471	4.275322003208035e-30	2.3319033519621288e-52	0.8075321311704395	0.818	0.555	4.8382330746510247e-48	6.11745421615901e-9	-0.7052756103176738	0.65	0.667	1.2692494007686715e-4	6.11745421615901e-9	6.995710055886379e-52	0.69939815300962
Tnip3	4.1584729958218913e-51	1.1536964747075493	0.411	0.083	8.62799977173126e-47	5.362326876492132e-90	1.1002768135600225	0.388	0.083	1.1125755803345876e-85	2.6467855702370114e-36	0.6989793143152502	0.366	0.079	5.491550701127752e-32	2.6467855702370114e-36	1.6086980629476237e-89	0.6989793143152502
Ly6e	1.363063611109345e-49	0.8112640468821322	0.786	0.465	2.828084380329669e-45	4.2971970368023586e-57	0.6704749013344964	0.823	0.596	8.915824411957533e-53	8.057202304612876e-67	0.980976831709921	0.805	0.434	1.6717083341610795e-62	1.363063611109345e-49	2.4171606913838606e-66	0.6704749013344964
H2-Q6	1.848884903762306e-58	0.7079700050558986	0.334	0.015	3.836066398326033e-54	3.0685629818200007e-140	0.6569196402011243	0.364	0.017	6.366654474680138e-136	6.807952497990966e-54	0.7344946031390057	0.347	0.016	1.4125139842831656e-49	6.807952497990966e-54	9.205688945460105e-140	0.6569196402011243
Bcl2a1b	2.9346208485792138e-62	1.3740722806279182	0.52	0.148	6.088751336632153e-58	2.473189353566769e-32	0.6520915381671248	0.504	0.288	5.1313732707803325e-28	1.231920394507247e-55	1.4347071431503187	0.499	0.129	2.5559884345236362e-51	2.473189353566769e-32	8.803862545737568e-62	0.6520915381671248
Apoe	2.155116585332335e-32	1.0887446472840745	0.889	0.836	4.471435891247529e-28	6.911295831797099e-51	1.0689311754232396	0.909	0.825	1.433955659181262e-46	3.5777932627143473e-12	0.6419214963215865	0.866	0.797	7.423205461479728e-8	3.5777932627143473e-12	2.0733887495391186e-50	0.6419214963215865
Irf1	7.286788213259954e-32	0.6572954741461068	0.478	0.208	1.5118628184871752e-27	3.1053564236719055e-50	0.6802306699522591	0.524	0.254	6.4429935078344695e-46	6.534603465022975e-24	0.622100158296283	0.452	0.224	1.3557995269229669e-19	6.534603465022975e-24	9.316069271015691e-50	0.622100158296283
Cxcl1	1.6342932448162755e-18	0.9659838239175937	0.379	0.192	3.3908316243448084e-14	1.059880294802638e-10	0.6123084113914159	0.395	0.278	2.199039635656513e-6	1.3597278753694206e-36	1.422273073169883	0.453	0.157	2.821163395816474e-32	1.059880294802638e-10	4.079183626108281e-36	0.6123084113914159
Pld4	5.684367622672144e-47	0.6103883118574778	0.811	0.472	1.1793925943520164e-42	1.7253184137209506e-104	0.7849418634141938	0.834	0.512	3.5796906447882283e-100	1.856141535072025e-56	0.6994414723492541	0.782	0.411	3.851122456967438e-52	5.684367622672144e-47	5.1759552411628075e-104	0.6103883118574778
H2-T23	2.4489079117285e-38	0.6808463857188136	0.62	0.311	5.0809941352542925e-34	2.5713552029353525e-53	0.5991495799111413	0.672	0.404	5.3350477750502694e-49	1.373877733896987e-54	0.8820737843070022	0.629	0.28	2.8505215222894686e-50	2.4489079117285e-38	4.12163320169093e-54	0.5991495799111413
Slc15a3	8.728479101563227e-47	0.7284193883762744	0.552	0.211	1.8109848439923383e-42	5.8179140187989e-64	0.6368051177552669	0.602	0.286	1.2071008006203958e-59	1.5570976182869277e-35	0.5933391253281176	0.505	0.206	3.230666138421718e-31	1.5570976182869277e-35	1.7453742056396422e-63	0.5933391253281176
Lsp1	1.182636117214001e-37	0.6040485003063911	0.784	0.51	2.4537334159956093e-33	6.930832402091979e-49	0.5900205187469691	0.794	0.599	1.4380091067860438e-44	3.4912755096126e-38	0.6105161771022654	0.803	0.515	7.243698427344222e-34	1.182636117214001e-37	2.0792497206275792e-48	0.5900205187469691
Cd93	3.492725886226029e-28	0.6280414453991523	0.632	0.37	7.246707668741765e-24	1.5948311342463275e-61	0.6651246624997773	0.648	0.335	3.30895563733428e-57	3.21802717787975e-21	0.5860011762277932	0.57	0.346	6.676762788664905e-17	3.21802717787975e-21	4.7844934027390185e-61	0.5860011762277932
Ctsh	2.0971039858584898e-89	1.0016873608551224	0.816	0.383	4.3510713498591945e-85	3.436200894905218e-168	1.1173147421901068	0.818	0.398	7.129429616749346e-164	1.358137116915979e-47	0.5807855121217143	0.778	0.413	2.8178628901772733e-43	1.358137116915979e-47	1.0308602684715869e-167	0.5807855121217143
Cd300c2	3.643208480642976e-47	0.71132028469415	0.517	0.176	7.558928955638046e-43	1.5974757849507327e-49	0.5778722030432961	0.51	0.245	3.31444275861578e-45	4.856631061463318e-44	0.7310853298475775	0.546	0.219	1.0076538126324092e-39	4.856631061463318e-44	4.792427354852157e-49	0.5778722030432961
Stat1	2.6464934238389453e-37	0.5777859816659641	0.35	0.086	5.490944555781044e-33	7.458363407359772e-64	0.5941012586414508	0.393	0.126	1.5474612397590054e-59	2.1648549242488464e-34	0.6215041391573584	0.357	0.093	4.491640996831506e-30	2.1648549242488464e-34	2.2375090222079123e-63	0.5777859816659641
Coro1a	1.7086276456916146e-41	0.5629483227183516	0.828	0.548	3.545060639280962e-37	2.8856492454925834e-56	0.6120304821103879	0.809	0.605	5.987145054548012e-52	1.4112117526796948e-57	0.6988958206542608	0.841	0.496	2.927982144459831e-53	1.7086276456916146e-41	4.23363525803911e-57	0.5629483227183516
Nr4a1	6.661461632397401e-45	0.8356211882265918	0.689	0.377	1.3821200594898127e-40	8.048635657017555e-33	0.5776075876804294	0.704	0.518	1.6699309261180022e-28	5.408520163055167e-34	0.5619754769260727	0.663	0.349	1.122159763430686e-29	8.048635657017555e-33	1.9984384897192262e-44	0.5619754769260727
Psmb9	2.32925098876377e-53	0.6047403775191412	0.432	0.084	4.83272995148707e-49	1.363941288477656e-98	0.5523573767594085	0.473	0.116	2.829905385333441e-94	5.516309099532753e-47	0.6664154446726489	0.426	0.101	1.1445238119710557e-42	5.516309099532753e-47	4.091823865432932e-98	0.5523573767594085
Ptgs2	2.804623794828585e-15	0.5665888776685091	0.158	0.039	5.819033449510348e-11	1.7265881275105627e-32	0.5653846019112649	0.182	0.048	3.5823250469589153e-28	3.258344950198664e-14	0.5473626886874143	0.159	0.037	6.760414102672188e-10	3.258344950198664e-14	5.179764382531645e-32	0.5473626886874143
Ms4a7	7.530942312257106e-26	0.6817285945042131	0.714	0.507	1.5625199109471044e-21	9.237499943309763e-26	0.5464803214292726	0.716	0.57	1.9165964882379095e-21	6.709182883603392e-21	0.6372269443741496	0.663	0.469	1.3920212646900318e-16	6.709182883603392e-21	2.2592826936771235e-25	0.5464803214292726
Id2	1.1857147753734727e-43	1.000867579423357	0.716	0.425	2.460121015944881e-39	1.843207371737365e-28	0.5425270312280261	0.745	0.557	3.824286654880685e-24	1.0087065795585359e-51	1.1618383005392132	0.721	0.384	2.0928644112680503e-47	1.843207371737365e-28	3.026119738675586e-51	0.5425270312280261
Tap1	6.774692256345375e-51	0.5870618541359676	0.408	0.078	1.4056131493465383e-46	5.277052958790704e-96	0.5477663829075645	0.442	0.103	1.0948829478898953e-91	1.24449162769836e-41	0.5386700424808187	0.39	0.085	2.5820712291485577e-37	1.24449162769836e-41	1.5831158876371867e-95	0.5386700424808187
Sdc4	1.4486806583274002e-41	0.940485625122438	0.794	0.569	3.00572262989769e-37	1.3499159131222565e-24	0.5370986057480316	0.791	0.621	2.8008055365460575e-20	5.6696430670355935e-40	0.9217965383362858	0.773	0.519	1.176337543548545e-35	1.3499159131222565e-24	4.3460419749821836e-41	0.5370986057480316
Prdx5	2.436975512188379e-37	0.7733196322141282	0.689	0.409	5.056236792688449e-33	1.6723824089431198e-37	0.6589628287263456	0.72	0.494	3.469859022075185e-33	7.180525197418674e-20	0.5292837233449064	0.665	0.466	1.4898153679604266e-15	7.180525197418674e-20	5.0171472268293775e-37	0.5292837233449064
Lst1	9.19271161781031e-26	0.5245470596579861	0.432	0.187	1.9073038064632832e-21	1.0207460949375841e-63	0.6293277905470351	0.467	0.171	2.1178439977764996e-59	9.067388003537493e-26	0.6322353994166825	0.409	0.18	1.881301662973959e-21	9.19271161781031e-26	3.062238284812753e-63	0.5245470596579861
Psme1	7.249056801577173e-35	0.5745190373148282	0.67	0.382	1.5040343051912317e-30	4.705976832021132e-38	0.5219762728188925	0.685	0.462	9.763960731077444e-34	1.3737196101759318e-33	0.521334995720871	0.644	0.365	2.8501934471930234e-29	1.3737196101759318e-33	1.4117930496063328e-37	0.521334995720871
Ptprc	6.293705364139058e-33	0.5116014316797297	0.849	0.646	1.3058179889515718e-28	7.486232524562335e-60	0.5709715087789142	0.872	0.728	1.5532435241961933e-55	1.6121692848507313e-48	0.6612722569586804	0.865	0.614	3.3449288322082974e-44	6.293705364139058e-33	2.2458697573686867e-59	0.5116014316797297
Ly86	5.403304891336553e-33	0.5093290990543657	0.821	0.56	1.121077698854508e-28	2.96396794001908e-34	0.5058990065553775	0.817	0.669	6.149640681951587e-30	1.0557177473446763e-46	0.6722253316310771	0.813	0.504	2.1904031821907343e-42	5.403304891336553e-33	3.1671532420340073e-46	0.5058990065553775
Il10	9.668045159983236e-19	0.5052210899360827	0.184	0.041	2.0059260097933218e-14	1.2248803045924228e-42	0.7676573555377624	0.208	0.047	2.541381655968359e-38	5.8575280648275996e-21	0.7694922931176678	0.202	0.035	1.2153199228904302e-16	9.668045159983236e-19	3.674640913777242e-42	0.5052210899360827
Cybb	2.884898566344712e-26	0.5052126211786394	0.876	0.76	5.985587545452009e-22	8.137595103854761e-46	0.599458567658643	0.88	0.801	1.688388232147786e-41	5.119256881747573e-40	0.6856978845093997	0.909	0.713	1.0621434178249864e-35	2.884898566344712e-26	2.4412785311564088e-45	0.5052126211786394
Malt1	6.236500958017353e-21	0.5047134214241862	0.354	0.152	1.2939492187694404e-16	1.3749681318211566e-69	0.9938349404042837	0.422	0.14	2.852783879902536e-65	1.7712404771909838e-36	0.5907438890179986	0.41	0.123	3.6749697420758533e-32	6.236500958017353e-21	4.124904395463509e-69	0.5047134214241862
Cd83	7.888119690184096e-45	1.021422543180754	0.847	0.703	1.6366270733193963e-40	4.3408388247790385e-21	0.49878944616155696	0.847	0.812	9.00637239365155e-17	3.1320487749254616e-41	0.8270081779633203	0.854	0.67	6.498374798215348e-37	4.3408388247790385e-21	2.3664359070552194e-44	0.49878944616155696
Lpl	4.973359281631694e-21	0.5253821142884165	0.598	0.35	1.0318725837529439e-16	1.2428837071401047e-17	0.4968169701186196	0.602	0.428	2.578735115574289e-13	1.6719168767664095e-35	0.67877506229389994	0.603	0.3	3.4688931359149463e-31	1.2428837071401047e-17	5.015750630299205e-35	0.4968169701186196
Dusp2	4.562334512034533e-35	0.7107571529999511	0.348	0.09	9.46593164556925e-31	1.9751967248427657e-41	0.4960607217618056	0.335	0.127	4.098138164703771e-37	1.0462622430130114e-28	0.6471067096713861	0.342	0.101	2.170784901803396e-24	1.0462622430130114e-28	5.92559017452827e-41	0.4960607217618056
Mmp14	3.1947988189682092e-49	0.7199246976998174	0.336	0.039	6.628568589595241e-45	2.07526958991423e-98	0.6647463379052376	0.34	0.047	4.305769345154044e-94	2.8125568878674868e-31	0.49548360963304794	0.269	0.039	5.8354930309474614e-27	2.8125568878674868e-31	6.225808769742705e-98	0.49548360963304794
Ifi211	1.5443568336719914e-29	0.4952505339788873	0.512	0.235	3.2042315585026476e-25	4.4604661244834724e-55	0.5887741106955142	0.598	0.297	9.254575115078308e-51	6.01170733470705e-28	0.5702814097066649	0.483	0.226	1.2473090378050188e-23	6.01170733470705e-28	1.3381398373450454e-54	0.4952505339788873
Slco3a1	5.886867190859337e-36	0.48571466957756226	0.272	0.039	1.2214072047594953e-31	9.703024231815101e-87	0.507716976403382	0.293	0.036	2.0131834676169972e-82	2.7751366973715748e-33	0.48983420617124934	0.273	0.035	5.757853619706544e-29	2.7751366973715748e-33	2.9109072695445115e-86	0.48571466957756226
Rnf19b	4.3095979560249806e-37	0.6062325266752588	0.661	0.357	8.94155383916063e-33	4.2167420474448955e-34	0.4831932244676833	0.689	0.45	8.74889640003867e-30	1.9151656621356076e-42	0.7038255785125473	0.673	0.342	3.9735857157989586e-38	4.2167420474448955e-34	5.74549698640682e-42	0.4831932244676833
Pim1	9.100626842950438e-30	0.4827571630911338	0.798	0.59	1.8881980573753568e-25	1.0411892873295398e-64	0.8156503487825688	0.806	0.633	2.1602595333513293e-60	2.9406951310026445e-56	0.7266885969467971	0.831	0.49	6.1013542578042865e-52	9.100626842950438e-30	3.123567861988585e-64	0.4827571630911338
Ctsz	5.661439798192372e-47	0.6888849891383608	0.879	0.707	1.1746355293289533e-42	8.281971783044988e-44	0.4727702680192869	0.895	0.799	1.718343505546174e-39	9.385391040424149e-47	0.6821731649516245	0.883	0.684	1.9472809330672022e-42	8.281971783044988e-44	1.6984319394577063e-46	0.4727702680192869
Fyb	7.497482091218628e-55	0.7536092324303809	0.691	0.308	1.5555775842860408e-50	1.5250243900492067e-55	0.58222533926099	0.722	0.421	3.164120604474094e-51	3.859683995138285e-27	0.4687174378989366	0.608	0.333	8.008072353112914e-23	3.859683995138285e-27	4.5750731701476294e-55	0.4687174378989366
Sdc3	5.448007570826845e-28	0.46618572550019843	0.686	0.403	1.1303526107951537e-23	7.992259084254811e-42	0.5267525288683539	0.728	0.469	1.6582339148011883e-37	5.1517404225785453e-26	0.46827277193479744	0.672	0.409	1.0688831028765966e-21	5.1517404225785453e-26	2.3976777252764444e-41	0.46618572550019843
AA467197	1.4873601610744233e-8	0.46479357711972064	0.134	0.053	3.0859748621972136e-4	4.9135875212526275e-28	0.4834949097230523	0.168	0.048	1.0194711389094951e-23	4.023458542754134e-17	0.5544332583404965	0.206	0.056	8.347871784506277e-13	1.4873601610744233e-8	1.4740762563757798e-27	0.46479357711972064
Rasgef1b	2.0202061198279765e-31	0.6327180838439022	0.614	0.327	4.191523657419086e-27	3.457091311373908e-29	0.46415318168238406	0.65	0.441	7.172773052838584e-25	7.114771409013076e-30	0.5532420129975355	0.565	0.284	1.4761727719420331e-25	3.457091311373908e-29	6.0606183594838975e-31	0.46415318168238406
