gene	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	3_p_val	3_avg_log2FC	3_pct.1	3_pct.2	3_p_val_adj	max_pval	minimump_p_val	min_FC
Lysmd3	0.1837308162751203	-0.23354175939453614	0.28	0.27	1	0.010108149084662735	-0.16581998356764616	0.346	0.336	1	0.9634240961400984	-0.11857304237529098	0.285	0.265	1	0.9634240961400984	0.030018956017111992	-0.11857304237529098
Snx5	0.11324558511787039	-0.15474683160991698	0.765	0.694	1	1.7669683974148244e-11	-0.20068745305198332	0.786	0.785	3.666106030956278e-7	0.4731770118859832	-0.11860992543668569	0.741	0.612	1	0.4731770118859832	5.3009051921508084e-11	-0.11860992543668569
Sirt1	0.057665137008495106	-0.35083704461547216	0.354	0.342	1	3.39420597095849e-9	-0.31305454224604423	0.413	0.436	7.042298548544676e-5	0.184165034957594	-0.11873029649790756	0.39	0.326	1	0.184165034957594	1.0182617878313594e-8	-0.11873029649790756
Ywhag	0.6872772878361197	-0.11899493889199331	0.596	0.483	1	4.821871043609188e-14	-0.3323965734915597	0.64	0.624	1.0004418041280344e-9	5.273671448124787e-9	0.18658669826285013	0.621	0.446	1.0941813520569308e-4	0.6872772878361197	1.4465613130826867e-13	-0.11899493889199331
Itga9	0.6122698644467406	-0.11910622977292912	0.191	0.183	1	4.3040731040358413e-7	-0.24373817715718882	0.216	0.263	0.008930090876253564	0.0027783808148396684	-0.15908260132494922	0.15	0.196	1	0.6122698644467406	1.291221375459472e-6	-0.11910622977292912
Eif3i	3.6854786983204296e-11	0.2297267973280469	0.551	0.347	7.646631203275228e-7	3.344548781250529e-11	0.1724133657345046	0.595	0.405	6.939269811338598e-7	0.06672917470178777	-0.11924633951918717	0.489	0.388	1	0.06672917470178777	1.0033646343416028e-10	-0.11924633951918717
Cpt1a	0.5842386512801253	-0.2026325765146778	0.348	0.306	1	0.5853083149122735	-0.11930452668424785	0.408	0.329	1	0.6057934167442646	-0.12253044695976156	0.346	0.312	1	0.6057934167442646	0.9281325330422594	-0.11930452668424785
Lpin1	0.3507631949272812	-0.19809314715505488	0.163	0.164	1	0.9639570598261757	-0.11942474041378032	0.176	0.164	1	0.07815187678953023	-0.1597328900985257	0.128	0.152	1	0.9639570598261757	0.2166098122876536	-0.11942474041378032
Sh3gl1	0.9098283360664541	-0.1208188833622642	0.258	0.234	1	0.9130470391461992	-0.11973778486480446	0.325	0.282	1	0.033598908308784065	-0.2310731128652071	0.24	0.261	1	0.9130470391461992	0.09744799436641893	-0.11973778486480446
Sem1	0.0033148753679010123	-0.1439065820302723	0.898	0.864	1	1.3285366601691432e-6	-0.11980454152982523	0.874	0.91	0.027564478625189383	1.82960304349492e-6	0.1344759883136315	0.915	0.794	0.0379606039464326	0.0033148753679010123	3.985604685480797e-6	-0.11980454152982523
Ro60	0.004224375922401943	-0.1905396145284871	0.138	0.172	1	2.884131624119578e-5	-0.13803577923126886	0.165	0.209	0.59839962937233	0.007498416864613873	-0.11996676327647693	0.136	0.173	1	0.007498416864613873	8.652145328301057e-5	-0.11996676327647693
Dynll1	0.1262819851090235	-0.12024062110339928	0.812	0.721	1	1.5251954523925183e-38	-0.48068962472720633	0.808	0.862	3.164475524623997e-34	5.743123427126546e-8	0.18319218507555757	0.85	0.684	0.0011915832486602156	0.1262819851090235	4.575586357177528e-38	-0.12024062110339928
Itga5	3.2417836382003007e-21	0.371077533080433	0.662	0.406	6.726052692537984e-17	0.8546337041630161	-0.12024182168266906	0.682	0.587	1	3.989357500373078e-22	0.42546954231184575	0.654	0.414	8.277118941774061e-18	0.8546337041630161	1.1968072501119193e-21	-0.12024182168266906
Atp6v1h	0.5914290302620495	-0.27896833063328796	0.572	0.489	1	2.2305229170900612e-14	-0.416285694398697	0.64	0.641	4.6278889483784587e-10	0.043078849670624995	-0.12071718593011282	0.581	0.469	1	0.5914290302620495	6.691568751270031e-14	-0.12071718593011282
Tob2	0.011244111567853269	-0.28033207053803055	0.719	0.658	1	7.730214238636663e-25	-0.4992156468841331	0.731	0.762	1.603864850232335e-20	0.018223088709419005	-0.12078931665486015	0.741	0.594	1	0.018223088709419005	2.319064271590986e-24	-0.12078931665486015
Tceal9	0.11568157125416463	-0.26063792765283467	0.418	0.391	1	3.887375342737957e-4	-0.17450612967857593	0.491	0.471	1	0.6007788578691962	-0.12105914196127776	0.43	0.383	1	0.6007788578691962	0.001165759310954527	-0.12105914196127776
Nras	0.7225267529648787	-0.17438711401742868	0.547	0.459	1	0.043698865961139303	-0.13520948616051043	0.633	0.548	1	0.71125662153347	-0.1212578524080119	0.534	0.471	1	0.7225267529648787	0.12545127218072966	-0.1212578524080119
Ndufb7	0.23622097770954212	-0.13262836492514607	0.685	0.603	1	1.9853354698385765e-4	-0.13231562041001266	0.707	0.673	1	0.8007635239837864	-0.12133548185719922	0.673	0.573	1	0.8007635239837864	5.954824020690522e-4	-0.12133548185719922
